"TERM","GENE"
"GO:0002576","GPR89B"
"GO:0071478","GPR89A"
"GO:0051972","RBM15"
"GO:0061337","RSBN1"
"GO:0009064","EMG1"
"GO:0033120","ZCCHC17"
"GO:0051973","RPL17"
"GO:0006941","RPL17-C18orf32"
"GO:0071349","YTHDF2"
"GO:0009314","YTHDF3"
"GO:0016584","YTHDF1"
"GO:0070671","DACH1"
"GO:0034620","DACH2"
"GO:0032206","AP2M1"
"GO:2000573","UPF3B"
"GO:0030049","SELENOH"
"GO:0033275","PSMA7"
"GO:1901607","PSMA8"
"GO:0003012","PTGES3"
"GO:0010038","RAVER1"
"GO:0000183","HMGN3"
"GO:0055075","HMGN2"
"GO:0071480","HNRNPAB"
"GO:0045292","IGKC"
"GO:0034599","IGKV3-11"
"GO:1900180","IGKV3D-11"
"GO:0034250","TJP1"
"GO:0051099","COL6A1"
"GO:0042542","HNRNPM"
"GO:2000278","SDHA"
"GO:0006188","GPX3"
"GO:0043902","CEBPZ"
"GO:0007004","RSBN1L"
"GO:0086065","AP2B1"
"GO:0071241","AP1B1"
"GO:0051592","SRSF3"
"GO:0046677","DDX1"
"GO:0006265","MBNL1"
"GO:0009113","MBLL"
"GO:0015867","MBNL2"
"GO:0071897","VDAC2"
"GO:0051131","EIF4G1"
"GO:0031503","RBM10"
"GO:0030261","RBM6"
"GO:0006942","HNRNPUL1"
"GO:0018149","CDKN2A"
"GO:1905268","MYO6"
"GO:0007006","NOLC1"
"GO:0051817","NOL6"
"GO:0070268","MBD1"
"GO:0035967","PRDX1"
"GO:0043153","DDX42"
"GO:0009416","HSPH1"
"GO:0006278","IARS"
"GO:1900182","SMARCA4"
"GO:0031126","SMARCA2"
"GO:0060968","WDR36"
"GO:0032204","ELOVL5"
"GO:0072655","TTN"
"GO:0140115","ZFP91"
"GO:0055078","ZFP91-CNTF"
"GO:0070849","ARPC4"
"GO:0071277","ARPC4-TTLL3"
"GO:0043243","PPAN-P2RY11"
"GO:0006089","FMC1"
"GO:0046040","LUC7L2"
"GO:0070585","EIF6"
"GO:0045070","SRSF7"
"GO:0035821","C11orf98"
"GO:0022400","DAD1"
"GO:0086064","RPS15"
"GO:0003015","PWP2"
"GO:1904358","KMT5A"
"GO:0008652","SET"
"GO:0043144","SETSIP"
"GO:1904814","WDR76"
"GO:0016051","RPSA"
"GO:0009648","SYNE1"
"GO:0070199","KDM2B"
"GO:0051225","CHD4"
"GO:0071482","CHD5"
"GO:0010332","CHURC1-FNTB"
"GO:0034249","CHURC1"
"GO:0042177","DUT"
"GO:0007623","ZG16B"
"GO:1990573","DDOST"
"GO:0008016","ZRANB2"
"GO:0009649","RBP4"
"GO:0044788","ZC3H8"
"GO:0019058","CDK11A"
"GO:1901028","CDK11B"
"GO:0017148","PTK6"
"GO:0051053","SRSF4"
"GO:0006544","CAPZA2"
"GO:0051503","CAPZA1"
"GO:1903578","KCNT2"
"GO:0051262","KCNT1"
"GO:0051291","DDX3X"
"GO:0060047","DDX3Y"
"GO:0046822","DDX4"
"GO:0070198","MED19"
